Gene1	Gene2
P62424	P63220
P62750	P62854
Q02878	P62857
P68363	Q13885
P62280	P63220
Q9UHV9	Q99471
P62888	P62753
P27635	P18124
P62750	P32969
P05387	P62244
P05386	P08865
P63220	P62851
P50991	P48643
P62917	P62854
Q9P086	O75586
P17980	P28072
P62750	Q02878
P62851	P23396
P62913	P39019
P47914	P23396
P25398	P62854
P62829	P25398
P63173	P25398
P46778	P62979
P18124	P46782
P60866	P23396
P62750	P61513
P30050	P62917
P62750	P62753
P46778	P39023
Q15459	Q15393
P62917	P60866
P62280	P62847
P62750	P62424
P25398	P62241
P05387	P62266
P46778	P47914
P62913	P36578
P62249	P62847
P63220	P62847
Q9BUI4	O15318
P46783	P62847
P09661	P09012
O94906	O75643
P32969	P62280
P62910	P08865
P26373	P18124
P62701	P08865
P35606	P61923
P32969	P08865
P78371	Q99832
P62979	P62753
P46778	P25398
Q13200	P48556
P17980	P25788
P62899	P61247
P62266	P62854
P53618	P61923
P32969	P39019
P62857	P15880
P62906	P25398
Q9NQP4	O15212
P62750	P46782
P08708	P62854
P61513	P62424
P62888	P62266
P47914	P36578
Q9Y3B4	Q15393
P27635	P30050
P83731	P62424
P62829	P39019
P62750	P62851
P62195	Q99436
Q9Y3B4	Q13243
P62906	P39019
Q10570	Q9P2I0
P53621	P61923
Q6ZRS2	Q15906
P30050	P62750
Q15393	P62314
P27635	P84098
Q6P2Q9	P08621
P62829	P62854
P28074	P48556
P61313	P25398
P50991	P50990
P32969	P62753
Q07864	Q9NRF9
P47914	P25398
P47914	P62753
P39019	P62847
P36578	P62081
P62899	P25398
O94906	Q15393
Q9Y5K8	P36543
P50914	P62979
Q9BXS5	P56377
P62913	P35268
P32969	P08708
P08621	P62318
P39019	P63220
Q10570	Q9UKF6
Q96KP1	O00471
P28072	P55036
P62829	P60866
P62829	P62888
P62829	P39023
P62979	P08865
P61513	P39019
P62750	P36578
P05388	P62266
P27635	P63220
Q9Y2X0	Q96G25
P47914	P61247
P22087	O00567
P30050	P08708
P08708	P62857
P62829	P08708
P46777	P62851
Q02543	P62263
P05387	P46782
P55769	Q16629
P25398	P62857
P62829	P46782
P05388	P62277
P62750	P62888
P43686	P25789
P62829	P05388
P62854	P08865
P62910	P62249
P62266	P62861
P09661	P62314
P47914	P60866
P62913	P62854
P35268	P36578
P61353	P62888
P28074	P28062
P61313	P08865
P18124	P25398
P62750	P63173
P62854	P46782
O00471	Q9UPT5
P36578	P08708
P36578	P62979
P14868	Q15046
P05387	P62753
Q10567	P56377
Q6P2Q9	Q15459
P62829	P62280
P63220	P46782
P62314	P62318
P05388	P05386
P68104	P62244
