PPI,ClusterSize,ClusterScore
epididymis - glandular cells,185,0.0206741811873
epididymis - glandular cells,9,0.41513849558
epididymis - glandular cells,865,0.0667592635881
epididymis - glandular cells,28,0.174613800573
epididymis - glandular cells,825,0.0105149852486
epididymis - glandular cells,1074,0.163611986913
epididymis - glandular cells,29,0.0792866418406
epididymis - glandular cells,7,0.575635565005
epididymis - glandular cells,5,-0.159456046613
epididymis - glandular cells,26,0.0803675707733
epididymis - glandular cells,7,-0.0331285857563
epididymis - glandular cells,31,0.463421913013
epididymis - glandular cells,8,0.476277831366
epididymis - glandular cells,53,0.380796348409
epididymis - glandular cells,8,0.661681703206
epididymis - glandular cells,4,0.525786989923
epididymis - glandular cells,4,0.617933289032
epididymis - glandular cells,4,0.348100000178
epididymis - glandular cells,4,0.6209653995
esophagus - squamous epithelial cells,814,0.062263345114
esophagus - squamous epithelial cells,404,0.12501715569
esophagus - squamous epithelial cells,370,0.00863807610886
esophagus - squamous epithelial cells,1648,0.120444213316
esophagus - squamous epithelial cells,231,0.289913589708
esophagus - squamous epithelial cells,306,0.108558182578
esophagus - squamous epithelial cells,9,0.41513849558
esophagus - squamous epithelial cells,221,0.049967828369
esophagus - squamous epithelial cells,99,0.0652572435473
esophagus - squamous epithelial cells,778,0.0092228489988
esophagus - squamous epithelial cells,1052,0.166712906471
esophagus - squamous epithelial cells,7,0.285041670454
esophagus - squamous epithelial cells,7,0.575635565005
esophagus - squamous epithelial cells,5,0.356444058138
esophagus - squamous epithelial cells,5,-0.159456046613
esophagus - squamous epithelial cells,31,0.463421913013
esophagus - squamous epithelial cells,8,0.476277831366
esophagus - squamous epithelial cells,53,0.380796348409
esophagus - squamous epithelial cells,17,0.172202032434
esophagus - squamous epithelial cells,8,0.661681703206
esophagus - squamous epithelial cells,4,0.617933289032
esophagus - squamous epithelial cells,4,0.348100000178
esophagus - squamous epithelial cells,4,0.6209653995
esophagus - squamous epithelial cells,4,0.701589084323
fallopian tube - glandular cells,242,0.264526145198
fallopian tube - glandular cells,1481,0.118580564218
fallopian tube - glandular cells,892,0.101043739524
fallopian tube - glandular cells,303,0.110147839295
fallopian tube - glandular cells,25,0.000636753736597
fallopian tube - glandular cells,161,0.0800702752028
fallopian tube - glandular cells,124,0.116867232349
fallopian tube - glandular cells,33,0.113580255939
fallopian tube - glandular cells,931,0.0567288565456
fallopian tube - glandular cells,269,-0.00532622828257
fallopian tube - glandular cells,1448,0.088901467656
fallopian tube - glandular cells,4,0.55542412224
fallopian tube - glandular cells,4,0.502877992684
fallopian tube - glandular cells,6,0.248301132423
fallopian tube - glandular cells,5,-0.00719938319327
fallopian tube - glandular cells,12,0.389540552418
fallopian tube - glandular cells,5,-0.159456046613
fallopian tube - glandular cells,15,0.234910315223
fallopian tube - glandular cells,5,0.094982771132
fallopian tube - glandular cells,32,0.457181291769
fallopian tube - glandular cells,8,0.476277831366
fallopian tube - glandular cells,53,0.380796348409
fallopian tube - glandular cells,8,0.661681703206
fallopian tube - glandular cells,4,0.525786989923
fallopian tube - glandular cells,4,-0.0716275673577
fallopian tube - glandular cells,4,0.617933289032
fallopian tube - glandular cells,4,0.348100000178
fallopian tube - glandular cells,4,0.6209653995
gallbladder - glandular cells,231,0.289913589708
gallbladder - glandular cells,391,0.128375057698
gallbladder - glandular cells,605,0.0536591601934
